Year,OverallPick,Name,age,height,pos,COLLEGE,SEASON,ncaaG,ncaaMP,ncaaFGM,ncaaFGA,ncaaFGPER,ncaaM2PM,ncaa2PA,ncaa2PER,ncaa3PM,ncaa3PA,ncaa3PER,ncaaFTM,ncaaFTA,ncaaFTPER,ncaaTRB,ncaaAST,ncaaSTL,ncaaBLK,ncaaTOV,ncaaPF,ncaaPTS,nbaG,nbaMP,nbaPTS,nbaTRB,nbaAST,nbaFGPER,nba3PER,nbaFTPER,nbaMP_G,nbaPTS_G,nbaTRB_G,nbaAST_G,nbaWS,nbaWS_48,nbaBPM,nbaVORP
2016,54,Kay Felder,21.092,69,Guard,Oakland University,2015-16,35,1286,8.4,19,0.44,6,12.4,0.485,2.4,6.7,0.355,7.4,8.8,0.848,4.6,10.1,2.1,0.2,3.7,3.2,26.5,42,386,166,41,58,0.392,0.318,0.714,9.2,4,1,1.4,0,0.004,-6.1,-0.4
2016,21,DeAndre Bembry,21.36,78,Big,Saint Joseph's University,2015-16,36,1341,7.1,14.8,0.479,6.1,11,0.553,1,3.8,0.266,3.5,5.3,0.657,8.3,4.8,1.5,0.9,2.2,2.6,18.7,38,371,101,59,28,0.48,0.056,0.375,9.8,2.7,1.6,0.7,0.3,0.038,-4.3,-0.2
2016,52,Joel Bolomboy,22.152,81,Big,Weber State University,2015-16,33,1041,7.4,12.9,0.573,6.6,10.8,0.613,0.8,2.1,0.364,6.1,8.8,0.697,15.9,1.3,0.9,1.5,3,2.8,21.7,12,53,22,17,2,0.563,0.25,0.5,4.4,1.8,1.4,0.2,0.2,0.171,-0.8,0
2016,27,Pascal Siakam,22.145,81,Big,New Mexico State University,2015-16,34,1176,9.3,17.3,0.538,9.2,16.8,0.549,0.1,0.5,0.2,4.7,6.9,0.678,13.4,2,1.2,2.6,2.3,3.1,23.4,55,859,229,186,17,0.502,0.143,0.688,15.6,4.2,3.4,0.3,1.6,0.089,-1.1,0.2
2016,10,Thon Maker,19.123,13,,,,,,,,,,,,,,,,,,,,,,,,,562,226,114,23,0.459,0.378,0.653,9.9,4,2,0.4,1.3,0.113,-1.5,0.1,
2016,19,Malik Beasley,19.214,77,Guard,Florida State University,2015-16,34,1014,7.3,15.5,0.471,5.1,9.9,0.518,2.2,5.6,0.387,4.1,5,0.813,7.1,2,1.3,0.2,2.3,3,20.9,22,165,83,17,11,0.452,0.321,0.8,7.5,3.8,0.8,0.5,0.2,0.057,-3.9,-0.1
2016,60,Tyrone Wallace,22.019,77,Guard,University of California,2015-16,28,901,6.7,15.2,0.442,5.6,11.5,0.488,1.1,3.7,0.298,4.4,6.8,0.649,6.6,5.5,1.2,0.5,3.3,2.8,19,,,,,,,,,,,,,,,,
2016,28,Skal Labissiere,20.102,83,Big,University of Kentucky,2015-16,36,567,6.9,13.4,0.516,6.9,13.3,0.521,0,0.1,,2.9,4.4,0.661,8,0.8,0.6,4.2,2.3,7.6,16.7,33,612,289,162,27,0.537,0.375,0.703,18.5,8.8,4.9,0.8,1.3,0.099,-2.6,-0.1
2016,22,Malachi Richardson,20.175,78,Guard,Syracuse University,2015-16,37,1272,4.8,12.9,0.37,2.3,5.9,0.39,2.5,7,0.353,3.6,4.9,0.72,5,2.4,1.3,0.3,2.5,2.9,15.6,22,198,79,23,11,0.412,0.286,0.789,9,3.6,1,0.5,0.1,0.028,-5.5,-0.2
2016,17,Wade Baldwin,20.091,75,Guard,Vanderbilt University,2015-16,33,1002,5.4,12.6,0.427,3.8,8.6,0.437,1.6,4,0.406,6.2,7.7,0.799,5.3,6.9,1.6,0.4,3.6,3.4,18.6,33,405,106,46,61,0.313,0.136,0.838,12.3,3.2,1.4,1.8,-0.4,-0.045,-5.8,-0.4
2016,33,Cheick Diallo,19.288,81,Big,University of Kansas,2015-16,27,202,6.5,11.5,0.569,6.5,11.5,0.569,0,0,,3,5.3,0.556,13.5,0.2,1.4,4.6,3.4,7.5,16,17,199,87,73,4,0.474,,0.714,11.7,5.1,4.3,0.2,0.5,0.111,-5.6,-0.2
2016,55,Marcus Paige,22.291,73,Guard,University of North Carolina,2015-16,34,1075,5.2,13.2,0.398,2.5,5.4,0.459,2.8,7.7,0.356,2.7,3.5,0.774,3.2,4.7,1.5,0.6,1.6,1.9,15.9,,,,,,,,,,,,,,,,
2016,1,Ben Simmons,19.343,82,Big,Louisiana State University,2015-16,33,1151,7.5,13.4,0.56,7.5,13.3,0.561,0,0.1,0.333,6.9,10.3,0.67,13.5,5.5,2.3,0.9,3.9,3.2,22,,,,,,,,,,,,,,,,
2016,38,Patrick McCaw,20.247,78,Guard,University of Nevada Las Vegas,2015-16,33,1113,6,13,0.465,3.6,6.3,0.571,2.4,6.7,0.366,2.9,3.8,0.774,6.1,4.6,2.9,0.5,2.4,2.6,17.5,71,1074,282,101,77,0.433,0.333,0.784,15.1,4,1.4,1.1,1.7,0.077,-1.7,0.1
2016,9,Jakob Poeltl,20.257,85,Big,University of Utah,2015-16,36,1093,8.3,12.9,0.646,8.3,12.9,0.646,0,0,,6,8.7,0.692,12,2.6,0.8,2,2.7,3,22.7,54,626,165,165,12,0.583,,0.544,11.6,3.1,3.1,0.2,1.6,0.126,-0.6,0.2
2016,30,Damian Jones,20.364,82,Big,Vanderbilt University,2015-16,33,866,8.5,14.4,0.59,8.5,14.3,0.595,0,0.1,,4.2,7.8,0.536,10.5,1.8,0.4,2.5,3,5,21.2,10,85,19,23,0,0.5,,0.3,8.5,1.9,2.3,0,0,0.018,-9.6,-0.2
2016,29,Dejounte Murray,19.282,77,Guard,University of Washington,2015-16,34,1139,7.1,17.1,0.416,5.9,12.9,0.457,1.2,4.1,0.288,3.9,5.8,0.663,7.1,5.3,2.2,0.4,3.9,3.2,19.2,38,322,130,42,48,0.431,0.391,0.7,8.5,3.4,1.1,1.3,0,0.004,-4.8,-0.2
2016,12,Taurean Prince,22.099,79,Big,Baylor University,2015-16,34,1040,7.2,16.7,0.432,5.2,11,0.469,2,5.7,0.361,4.3,5.6,0.774,7.9,3,1.7,1,3.5,3.3,20.8,59,981,335,157,55,0.4,0.324,0.787,16.6,5.7,2.7,0.9,1.1,0.054,-2.3,-0.1
2016,48,Paul Zipser,22.131,13,,,,,,,,,,,,,,,,,,,,,,,,,843,240,125,36,0.398,0.333,0.775,19.2,5.5,2.8,0.8,0.5,0.03,-3.7,-0.4,
2016,57,Wang Zhelin,22.16,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,15,Juan Hernangomez,20.274,13,,,,,,,,,,,,,,,,,,,,,,,,,842,305,187,29,0.453,0.411,0.75,13.6,4.9,3,0.5,1.8,0.104,-1.3,0.1,
