name,2015xrapm,2015oxrapm,2015dxrapm,2014xrapm,2014oxrapm,2014dxrapm,2013xrapm,2013oxrapm,2013dxrapm,2012xrapm,2012oxrapm,2012dxrapm,2011xrapm,2011oxrapm,2011dxrapm,2010xrapm,2010oxrapm,2010dxrapm,2009xrapm,2009oxrapm,2009dxrapm,2008xrapm,2008oxrapm,2008dxrapm,2007xrapm,2007oxrapm,2007dxrapm,2006xrapm,2006oxrapm,2006dxrapm,2005xrapm,2005oxrapm,2005dxrapm,
Ben Gordon,-2.6,-1.35,-1.24,-0.38,-1.08,0.7,-5.4,-1.0,-4.41,-2.95,-1.12,-1.83,-0.54,0.81,-1.35,-1.32,0.28,-1.61,1.32,1.45,-0.12,-3.08,-0.49,-2.59,2.64,1.85,0.79,0.82,0.71,0.11,1.57,-0.08,1.65,
Daniel Gibson,,,,,,,-3.51,-2.06,-1.45,-0.46,-0.08,-0.38,0.11,-0.09,0.2,0.6,0.28,0.32,1.14,0.76,0.38,1.51,0.93,0.58,1.53,0.27,1.25,,,,,,,
Tim Duncan,2.14,0.01,2.13,1.8,0.28,1.51,3.53,1.05,2.47,4.23,1.01,3.22,3.02,0.51,2.51,2.79,0.22,2.57,0.66,-0.13,0.78,3.44,1.43,2.01,5.43,2.31,3.12,2.99,0.88,2.1,6.36,2.87,3.5,
Kyle Lowry,2.08,1.07,1.01,2.57,1.87,0.7,1.15,1.5,-0.35,1.22,0.6,0.63,2.66,1.42,1.24,1.41,0.63,0.78,-2.06,-2.42,0.36,-0.66,-1.1,0.44,1.53,0.49,1.04,,,,,,,
Sasha Vujacic,,,,-0.65,-0.35,-0.31,,,,,,,-3.57,-0.74,-2.83,-0.74,-0.55,-0.18,-0.39,-0.65,0.26,0.63,3.17,-2.54,-1.09,0.55,-1.64,-0.28,-0.7,0.42,-0.33,-0.21,-0.12,
Nick Johnson,-1.8,-1.91,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donnell Harvey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.32,0.05,-0.37,
Nando De Colo,,,,-0.6,0.44,-1.04,-1.38,-1.82,0.44,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Calathes,1.5,-1.28,2.78,0.08,-0.84,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reggie Williams,-1.27,-0.41,-0.86,-0.43,-0.27,-0.17,-1.2,-0.3,-0.89,-3.53,-1.15,-2.38,-1.1,-0.1,-1.0,-1.57,0.39,-1.96,,,,,,,,,,,,,,,,
Louis Williams,2.3,3.15,-0.85,-3.15,0.36,-3.51,-1.1,-0.48,-0.63,2.34,1.87,0.47,-0.29,0.57,-0.86,-0.17,1.22,-1.39,-1.57,0.15,-1.72,-0.98,-0.34,-0.64,1.01,0.14,0.87,-1.24,-0.59,-0.65,,,,
Curtis Borchardt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.15,-1.56,-0.6,
Solomon Alabi,,,,,,,,,,-0.11,-0.18,0.07,-1.27,-0.82,-0.45,,,,,,,,,,,,,,,,,,,
Noah Vonleh,-2.04,-1.72,-0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mickael Gelabale,,,,,,,-1.05,-0.63,-0.43,,,,,,,,,,,,,-1.43,-1.35,-0.08,-0.52,-0.16,-0.36,,,,,,,
Cory Joseph,0.93,-0.3,1.23,-0.65,-0.17,-0.48,-0.68,-0.43,-0.25,-2.6,-0.69,-1.91,,,,,,,,,,,,,,,,,,,,,,
Uros Slokar,,,,,,,,,,,,,,,,,,,,,,,,,-1.76,-1.1,-0.66,,,,,,,
Eric Piatkowski,,,,,,,,,,,,,,,,,,,,,,-0.96,-0.77,-0.19,-0.86,-0.14,-0.72,-0.86,-1.47,0.61,-0.1,-0.15,0.05,
Marcus Smart,1.22,0.69,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luis Scola,0.53,-0.12,0.65,-2.46,-2.42,-0.04,-1.29,-0.81,-0.48,1.0,-0.1,1.1,1.04,0.96,0.08,-1.79,-0.9,-0.89,0.42,-0.17,0.59,0.36,-0.13,0.49,,,,,,,,,,
Earl Watson,,,,-0.23,-0.45,0.22,-2.51,-1.2,-1.31,-0.17,-0.63,0.47,0.43,0.28,0.15,-0.2,0.06,-0.26,-2.55,-1.3,-1.25,-1.7,-1.3,-0.4,-1.18,0.1,-1.28,2.24,1.15,1.09,2.39,0.29,2.11,
Nikola Mirotic,2.36,1.14,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lester Hudson,-0.23,-0.4,0.17,,,,,,,0.15,0.32,-0.17,-0.83,-1.07,0.24,-0.01,0.39,-0.41,,,,,,,,,,,,,,,,
Jamario Moon,,,,,,,,,,-2.49,-1.9,-0.59,-1.37,-1.43,0.07,-0.17,-0.66,0.49,1.9,0.49,1.41,2.87,1.98,0.89,,,,,,,,,,
Tim Thomas,,,,,,,,,,,,,,,,-0.88,0.73,-1.61,1.07,-0.23,1.3,-0.99,-1.63,0.65,3.04,1.12,1.92,-0.38,1.89,-2.26,-1.57,-0.86,-0.71,
Chris Johnson,-0.7,-0.36,-0.34,-0.49,-0.07,-0.42,-0.76,0.64,-1.4,-1.16,-0.16,-1.0,-1.25,-1.23,-0.02,,,,,,,,,,,,,,,,,,,
Aaron Williams,,,,,,,,,,,,,,,,,,,,,,-2.23,-1.05,-1.18,-0.44,-1.05,0.61,-1.76,-1.24,-0.52,-3.6,-2.61,-1.0,
Deron Williams,0.77,1.08,-0.31,4.23,3.21,1.02,-0.18,1.68,-1.85,-1.1,0.89,-1.99,-0.53,1.51,-2.04,3.3,2.88,0.43,0.83,1.76,-0.93,2.0,1.98,0.02,1.5,1.32,0.17,-1.59,-0.16,-1.43,,,,
