Year,Name,dxSpot,age,height,pos,ncaaG,ncaaMP,ncaaFGM,ncaaFGA,ncaaFGPER,ncaaM2PM,ncaa2PA,ncaa2PER,ncaa3PM,ncaa3PA,ncaa3PER,ncaaFTM,ncaaFTA,ncaaFTPER,ncaaTRB,ncaaAST,ncaaSTL,ncaaBLK,ncaaTOV,ncaaPF,ncaaPTS
2017,Markelle Fultz,1,19,76,Guard,25,35.7,9.3,19.7,0.472,7,14,0.502,2.3,5.7,0.413,4.9,7.5,0.649,6.4,6.6,1.8,1.3,3.6,2.8,26
2017,Lonzo Ball,2,19.5,78,Guard,36,35.1,6,10.8,0.556,3.5,4.7,0.732,2.5,6.1,0.412,2.1,3.1,0.673,6.8,8.7,2.1,0.9,2.8,2.1,16.6
2017,Josh Jackson,3,20.3,80,Wing,35,30.8,8.2,15.9,0.516,6.9,12.6,0.549,1.3,3.3,0.378,3.6,6.4,0.566,9.6,3.9,2.2,1.4,3.6,3.9,21.2
2017,Jayson Tatum,4,19.2,80,Wing,29,33.3,6.9,15.1,0.457,5.2,10.3,0.504,1.7,4.8,0.342,4.9,5.8,0.849,8.8,2.6,1.6,1.4,3.1,3.6,20.2
2017,De'Aaron Fox,5,19.4,76,Guard,36,29.6,8,16.8,0.476,7.4,14.2,0.521,0.6,2.6,0.246,5.9,8,0.736,5.4,6.2,2,0.3,3.3,3.4,22.6
2017,Malik Monk,6,19.3,76,Guard,38,32.1,8.2,18.3,0.448,4.8,9.7,0.497,3.4,8.6,0.397,4.9,5.9,0.822,3.1,2.9,1.2,0.6,2.5,2.4,24.8
2017,Dennis Smith,7,19.5,75,Guard,32,34.8,6.9,15.1,0.457,4.9,9.6,0.509,2,5.5,0.359,5.1,7.2,0.715,5.2,7.1,2.2,0.5,3.8,2.4,20.8
2017,Lauri Markkanen,8,20,85,Big,37,30.8,6.5,13.2,0.492,4.1,7.5,0.545,2.4,5.7,0.423,4.8,5.8,0.835,9.3,1.1,0.5,0.7,1.4,2.6,20.2
2017,Jonathan Isaac,9,19.6,83,Big,32,26.2,6.2,12.2,0.508,4.7,8,0.593,1.5,4.2,0.348,4.4,5.6,0.78,12,1.8,1.8,2.3,2.3,3.3,18.3
2017,Jarrett Allen,11,19.1,83,Big,33,32.1,6.8,12,0.567,6.8,11.7,0.579,0,0.3,0,3.2,5.6,0.564,10.5,1,0.7,1.9,3.2,2.6,16.7
2017,Zach Collins,12,19.6,85,Big,39,17.2,8,12.4,0.645,7.4,11.1,0.672,0.6,1.3,0.476,6.5,8.8,0.743,13.7,1,1.1,4.1,3.6,6.3,23.2
2017,Justin Jackson,13,22.1,80,Wing,39,32.2,8.3,18.7,0.444,5,9.8,0.51,3.3,8.9,0.368,3.1,4.2,0.748,5.8,3.5,1,0.3,2.1,1.7,22.9
2017,OG Anunoby,14,19.8,80,Wing,16,25.1,6.8,12.2,0.557,5.4,7.7,0.701,1.4,4.5,0.311,2.7,4.8,0.563,8.7,2.3,2.1,2.1,2.6,3.3,17.6
2017,John Collins,16,19.6,82,Big,33,26.6,10.7,17.1,0.626,10.7,17.1,0.624,0,0,0,7.5,10,0.745,14.8,0.8,1,2.4,2.8,4.5,28.8
2017,Justin Patton,17,19.9,85,Big,34,25.5,9,13.1,0.687,8.6,12.5,0.684,0.4,0.6,0.571,2,3.8,0.518,9.6,1.8,1.4,2.3,2.7,4.4,20.3
2017,Luke Kennard,20,20.9,78,Guard,37,35.5,7.2,14.7,0.49,4.5,8.6,0.525,2.7,6.1,0.438,4.9,5.7,0.856,5.7,2.8,0.9,0.4,1.8,2.5,22
2017,Donovan Mitchell,21,20.7,75,Guard,34,32.3,6.6,16.1,0.41,3.7,7.9,0.463,2.9,8.2,0.354,3.2,3.9,0.806,6,3.4,2.6,0.6,2,3.2,19.3
2017,T.J. Leaf,22,20,82,Big,35,29.9,8.9,14.5,0.614,7.9,12.3,0.644,1,2.2,0.466,2.7,4,0.679,11,3.2,0.8,1.5,2,3.4,21.7
2017,Ivan Rabb,23,20.3,82,Big,31,32.7,5.9,12.3,0.48,5.6,11.5,0.49,0.3,0.8,0.4,4.9,7.4,0.663,12.8,1.9,0.8,1.2,2.6,3.8,17.1
2017,Tyler Lydon,25,21.1,82,Big,34,36.1,4.9,10.5,0.467,3.3,6.4,0.523,1.6,4.1,0.392,3.2,3.8,0.836,9.6,2.3,1.1,1.6,1.9,2.7,14.6
2017,Jawun Evans,26,20.8,73,Guard,31,29.3,9,20.5,0.439,7.5,16.4,0.453,1.5,4.1,0.376,6.4,7.9,0.806,4.7,8.8,2.3,0.2,3.8,3.1,25.9
2017,Semi Ojeleye,28,22.4,79,Wing,35,34.1,7,14.5,0.483,4.6,8.7,0.529,2.4,5.8,0.424,5.8,7.3,0.785,8,1.8,0.5,0.5,1.7,2.1,22.3
2017,Caleb Swanigan,29,20.1,81,Big,35,32.5,7.8,14.8,0.527,6.5,11.8,0.548,1.3,3,0.447,5.8,7.4,0.781,15.3,3.7,0.5,1,4.1,3.4,22.7
2017,Alec Peters,31,22.1,81,Wing,28,35.1,8.3,17.9,0.464,6.1,11.8,0.514,2.2,6.1,0.369,6.8,7.6,0.888,11.3,2.6,0.9,0.4,2.8,2.6,25.6
2017,D.J. Wilson,32,21.2,82,Big,38,30.4,5.7,10.6,0.538,4.3,6.8,0.631,1.4,3.8,0.373,1.7,2.1,0.833,7,1.7,0.7,2,1.5,2.5,14.5
2017,Bam Adebayo,34,19.8,82,Big,38,30.1,5.9,9.9,0.596,5.9,9.9,0.601,0,0,0,5.4,8.2,0.653,10.6,1.1,0.9,2,2.2,3.5,17.3
2017,Thomas Bryant,36,19.8,82,Big,34,28.1,6.2,11.9,0.521,5.2,9.4,0.556,1,2.5,0.383,4.5,6.2,0.73,9.5,2.1,1.1,2.2,3.3,4.4,17.9
2017,Devin Robinson,39,22.2,80,Wing,36,26.4,6,12.5,0.48,4.2,7.9,0.524,1.8,4.6,0.391,3.1,4.2,0.723,9.2,1,1.3,1.2,1.6,3.4,16.8
2017,Johnathan Motley,40,22,81,Wing,33,30.8,8.6,16.6,0.518,8.3,15.4,0.537,0.3,1.2,0.258,4.9,7,0.702,12.8,2.9,0.5,1.5,3.8,4,22.4
2017,Jaron Blossomgame,41,23.7,79,Wing,33,34.3,7.7,15.6,0.494,6.9,12.3,0.565,0.8,3.3,0.255,4.2,5.9,0.714,7.3,1.8,1,1.1,1.9,1.9,20.6
2017,Jordan Bell,42,22.3,81,Big,38,29.1,6.2,9.7,0.639,6.1,9.2,0.661,0.1,0.5,0.154,2.8,4,0.694,11.9,2.5,1.8,3.1,2.7,2.4,15.1
2017,Dillon Brooks,43,21.3,79,Wing,34,25.5,9.1,18.9,0.481,6.5,12.4,0.526,2.6,6.5,0.404,4.2,5.6,0.744,5.1,4.3,1.7,0.7,3.3,4.4,25.1
2017,Josh Hart,44,22.2,78,Guard,36,33.2,7.9,15.5,0.51,5.4,9.4,0.579,2.5,6.1,0.404,4.3,5.7,0.747,7.7,3.6,1.9,0.3,2.4,2.7,22.5
2017,Andrew Jones,45,19.4,76,Guard,33,27.9,5.4,12.7,0.425,3.5,7,0.503,1.9,5.7,0.328,3.7,4.8,0.775,5.6,5.1,1.8,0.6,3.6,3.1,16.4
2017,Justin Jackson (Canada),46,20.2,80,Wing,32,28.1,5.1,11.5,0.443,3.1,7,0.443,2,4.5,0.441,2.9,4.2,0.702,8.4,1.2,1.2,1.2,2.4,3.2,15.2
2017,Wesley Iwundu,47,22.4,79,Guard,35,31.4,5.5,11.4,0.482,4.3,8.3,0.52,1.2,3.1,0.376,4.4,5.8,0.767,8.1,4.4,1.3,0.4,3,2.3,16.6
